"depths","ALNUSX","ARTEMISIA","BETULA","CHENOAMX","CYPERACE","PINUSX","POACEAE","QUERCUS","SPHAGNUM","URTICACX","RUMEOXYR"
0,1,0,14,3,11,21,17,63,26,9,3
5,7,6,20,13,70,43,70,23,105,7,5
10,25,4,19,15,43,20,10,49,188,13,0
15,6,3,31,15,84,20,38,109,207,28,0
20,5,3,18,12,30,12,16,92,76,30,3
25,11,6,22,25,61,17,31,105,145,24,0
30,9,3,15,21,11,6,38,66,11,13,1
35,13,11,36,3,60,95,15,109,64,29,0
40,37,25,71,3,85,181,27,162,3,20,0
45,21,23,32,3,47,103,17,71,3,10,0
50,7,2,37,2,34,53,9,33,5,8,0
60,11,13,22,3,56,58,20,45,6,6,0
70,12,16,19,6,29,73,28,69,60,1,0
76,13,13,27,3,85,124,32,134,25,6,0
80,7,14,10,4,37,60,20,51,4,11,0
85,20,24,20,1,111,139,32,135,3,4,0
90,8,12,25,4,50,60,19,77,3,1,1
96,17,11,21,4,41,95,21,84,4,4,1
100,13,14,21,2,49,55,30,67,7,8,1
110,16,10,16,2,8,66,10,104,1,3,1
120,7,11,23,4,14,47,23,96,0,6,0
