"depths","ALNUSX","ARTEMISIA","ASTERX","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","URTICACX","RUMEOXYR"
180,13,4,0,38,3,2,101,7,27,3,0
184,7,2,2,27,7,0,58,8,26,3,0
190,12,4,0,32,6,9,88,13,45,3,0
194,9,9,7,46,6,3,105,8,37,0,0
200,14,4,3,34,3,11,94,11,27,3,0
204,14,9,6,43,9,11,101,8,31,2,0
210,18,15,5,47,3,14,148,11,20,1,0
214,19,5,3,22,4,9,113,2,15,2,0
220,15,5,0,28,5,14,107,7,18,4,0
224,28,15,3,95,3,25,208,14,80,8,0
230,9,3,4,44,5,8,83,7,24,5,0
234,16,13,3,64,2,8,89,11,32,2,0
240,13,7,1,47,3,7,103,9,48,3,0
244,17,11,2,41,2,3,92,12,39,1,0
246,46,13,3,69,9,3,198,32,100,6,0
248,41,15,6,73,15,12,176,21,100,5,0
250,17,6,3,32,8,5,92,12,52,5,1
254,11,7,2,28,2,5,78,16,37,0,0
260,10,8,4,25,6,4,87,4,41,6,1
264,25,8,5,24,4,1,93,13,45,5,0
270,5,11,1,22,8,7,60,20,42,3,0
274,41,17,13,31,20,14,161,37,136,7,0
280,11,14,1,21,6,9,70,16,58,5,0
284,22,13,3,32,6,10,60,14,43,3,0
290,18,11,2,33,7,6,82,23,56,7,0
294,15,4,3,21,8,13,67,11,63,4,0
300,18,6,7,20,8,5,38,8,66,6,0
310,22,7,7,29,14,6,46,19,53,4,1
320,16,11,3,29,10,5,39,16,56,4,0
330,15,10,5,19,7,13,47,10,59,5,0
340,23,11,2,30,10,11,40,13,94,3,0
350,41,6,7,42,5,10,41,21,63,6,0
370,25,16,2,48,9,10,44,19,109,8,0
