"depths","ALNUSX","ARTEMISIA","ASTERX","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","URTICACX","RUMEOXYR"
1,37,10,19,49,66,12,83.5,83,156,32,3
1,20,5,12,32,39,12,72,44,121,22,0
10,31,15,17,51,67.5,17,96.5,75,192,19,0
15,32,11,6,41,27,13,91,40,149,7,1
20,18,6,7,21,17,8,75,10,94,6,0
30,38,14,13,33,32.5,13,84.5,41,153,7,0
40,30,13,9,36,30,3,110,23,106,7,0
50,30,10,22,19,28.5,5,81.5,35,107,5,0
60,31,7,2,29,12,17,73,17,105,10,0
80,70,15,9,63,50,20,122.5,36,243,23,0
100,27,7,7,15,15,6,64,12,105,8,0
110,34,8,9,18,13,10,68.5,17,95,6,0
120,11,6,33,8,32.5,5,31,19,32,4,0
130,23,7,6,24,28,12,70.5,25,123,5,0
