"depths","ACERX","AMBROSIA","ARTEMISIA","ASTERX","BETULA","OSTRYCAR","PINUSX","POACEAE","QUERCUS","URTICACX","RUMEOXYR"
1.5,4,54,8,15,15,8,38,28,110,42,1
15.5,2,53,10,23,18,5,33,36,116,64,1
39.5,12,135,11,35,19,26,34,51,117,35,0
43.5,7,120,5,3,11,12,36,51,111,31,0
47.5,6,82,10,26,24,14,33,41,110,33,1
51.5,7,52,0,11,26,23,46,57,94,23,0
55.5,9,39,10,8,17,21,28,20,98,19,0
59.5,26,10,11,6,13,31,45,12,110,14,0
63.5,21,11,9,12,19,41,57,13,92,19,0
67.5,15,12,8,12,12,52,47,15,107,24,1
79.5,11,13,12,9,18,36,65,8,142,23,0
97.5,6,16,12,16,10,25,67,9,182,14,0
101.5,3,14,10,6,13,28,45,15,164,8,0
135.5,1,14,21,10,10,18,53.5,28,159,13,0
149.5,5,16,23,7,13,18,77,30,142,13,0
