"depths","ABIES","ACERX","ALNUSX","BETULA","CUPRESSA","CYPERACE","PICEAX","PINUSX","QUERCUS","TSUGAX","RUMEOXYR"
0,7,15,18,117,18,6,10,189,9,7,1
10,5,8,13,122,8,10,33,317,17,17,0
25,5,9,7,123,14,6,14,332,16,16,0
50,8,9,3,104,8,8,19,349,11,17,0
75,2,8,9,143,6,3,16,350,16,17,0
100,3,14,10,145,5,4,13,350,14,13,0
125,5,7,9,120,4,3,18,287,22,12,0
150,7,10,11,156,1,13,25,343,21,25,0
175,4,6,15,103,2,5,19,323,14,11,0
200,6,4,11,143,8,5,9,262,12,13,0
225,2,16,12,151,7,6,5,325,15,16,0
250,1,11,16,169,9,6,7,317,17,11,0
