"depths","ARTEMISIA","BETULA","CUPRESSA","CYPERACE","FRAXINUX","JUGLANSX","PINUSX","POACEAE","QUERCUS","URTICACX","RUMEOXYR"
0.5,5,16,12,11,7,15,31,24,172,20,2
2,6,22,12,9,19,13,39,54,275,23,5
9,2,25,12,14,6,14,46,40,183,25,6
16,6,16,6,13,8,13,47,33,210,21,2
19.5,12,33,2,6,7,10,63,28,305,19,1
22.5,8,19,17,16,17,7,72,11,259,13,0
31,15,60,19,39,38,35,162,25,601,21,0
39,4,24,2,7,7,15,63,18,261,12,0
46.5,7,29,11,15,16,18,77,16,287,11,0
54.5,9,29,6,5,14,15,69,18,303,8,0
62,9,34,10,18,12,25,89,28,348,15,2
69,11,21,6,10,5,16,105,14,286,7,0
76.5,7,36,6,19,5,17,89,23,318,8,0
83.5,8,32,9,15,4,27,87,20,262,3,0
90.5,11,32,9,16,10,14,79,21,238,12,0
97.5,8,37,6,20,4,22,84,24,269,8,0
104.5,10,38,13,15,13,19,99,33,279,4,0
111,15,32,4,11,5,12,76,28,258,10,0
117.5,12,35,4,18,8,13,53,24,308,13,0
124,15,23,3,15,11,13,86,28,248,11,0
130.5,6,32,10,19,9,27,77,19,271,17,0
137,14,25,2,25,4,8,80,24,243,13,0
