"depths","ABIES","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CUPRESSA","PICEAX","PINUSX","POACEAE","QUERCUS"
0,2,15,8,4,41,7,37,156,6,6
5,5,25,6,1,49,4,39,168,2,8
10,3,27,12,6,41,6,28,164,8,3
13,2,25,12,7,41,3,22,144,2,5
15,5,24,11,3,49,4,34,184,4,4
20,2,25,6,4,62,12,29,162,2,6
23,1,13,8,4,28,3,15,106,3,2
25,4,17,2,1,54,8,29,175,8,4
27,2,21,5,9,49,1,28,222,0,5
30,5,36,2,5,44,5,29,182,5,9
30.7,0,24,5,5,60,0,21,230,3,4
35,4,16,3,3,43,10,25,203,3,5
40,1,22,2,9,47,5,27,154,3,5
45,2,20,8,5,32,3,24,173,3,7
48,5,17,4,3,34,1,39,177,5,5
48.5,1,18,5,3,41,8,25,154,4,7
49,5,24,1,8,29,4,31,163,3,11
50,4,18,1,6,39,2,22,170,3,5
55,23,16,2,5,40,4,29,164,0,7
60,6,22,2,1,30,9,26,194,3,6
