"depths","ARTEMISIA","ASTERX","BETULA","CHENOAMX","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","URTICACX","RUMEOXYR"
1,11,13,11,43.5,32,8,19.5,53,249,29,5
10,13,13,5,36,35,1,8,81,151.5,23,1
20,12,8,5,18,40,5,13.5,66,162.5,11,1
25,7,3,5,10,27,9,13,52,111,6,0
30,12,9,10,3,24,5,14,75,131.5,10,0
35,24,9,9,2,40,7,23,95,193,8,0
40,6,4,5,6,21,7,9,47,104.5,8,0
50,5,8,9,4,24,2,13,44,112,5,0
60,16,16,5,5,30,8,18.5,41,161.5,4,0
70,13,6,5,4,36,4,14,26,98,1,0
80,11,9,2,2,27,10,11.5,33,108.5,2,0
90,16,12,11,3,37,6,15.5,37,134.5,5,0
110,14,15,4,19,46,4,22,58,141.5,6,0
125,4,7,2,4,16,9,7.5,47,86,4,0
