"depths","AMBROSIA","ARTEMISIA","ASTERX","BETULA","CHENOAMX","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","RUMEOXYR"
1,262.5,11,13,11,43.5,32,8,19.5,53,249,5
10,242,13,13,5,36,35,1,8,81,151.5,1
20,175,12,8,5,18,40,5,13.5,66,162.5,1
25,98,7,3,5,10,27,9,13,52,111,0
30,65,12,9,10,3,24,5,14,75,131.5,0
35,44,24,9,9,2,40,7,23,95,193,0
40,21,6,4,5,6,21,7,9,47,104.5,0
50,19,5,8,9,4,24,2,13,44,112,0
60,30,16,16,5,5,30,8,18.5,41,161.5,0
70,25,13,6,5,4,36,4,14,26,98,0
80,19,11,9,2,2,27,10,11.5,33,108.5,0
90,21,16,12,11,3,37,6,15.5,37,134.5,0
110,25,14,15,4,19,46,4,22,58,141.5,0
125,7,4,7,2,4,16,9,7.5,47,86,0
