"depths","ARTEMISIA","ASTERX","BETULA","CYPERACE","FRAXINUX","OSTRYCAR","PINUSX","POACEAE","QUERCUS","URTICACX","RUMEOXYR"
5,14.5,24,6,63.5,10,15,27,83,102,29,1
15,7,2,2,14.5,6,3,13.5,29,30,10,0
20,17,11,15,25.5,5,18,25,39,71,22,0
25,18,16,12,34,4,10,16.5,46,74,22,0
30,27,13,16,27,13,33,31,41,104,26,0
35,25,8,10,27,5,19,23.5,40,92,19,0
40,18,14,10,22,4,8,14.5,33,65,9,0
45,12,12,3,12.5,6,5,21.5,26,53,10,0
50,15,6,11,11.5,5,5,25.5,35,55,17,0
55,20,10,7,23,6,6,28,41,81,13,0
60,76,33,33,113.5,15,34,86,179,222,28,0
70,21,21,16,35.5,7,10,34,59,92,16,1
80,19,14,7,30.5,6,7,36,47,63,10,0
100,17,20,7,30.5,4,9,31.5,53,73,16,1
115,28,14,8,27.5,9,10,31,64,70,13,0
