"depths","ACERX","ALNUSX","BETULA","CUPRESSA","CYPERACE","PINUSX","POACEAE","POPULUS","QUERCUS","TSUGAX","RUMEOXYR"
10,7,10,103,10,2,115,5,13,24,18,1
20,9,9,92,11,5,100,11,10,26,18,1
30,6,22,77,28,3,89,18,17,12,20,1
40,3,11,84,13,3,96,19,7,11,30,1
50,9,15,98,25,3,78,15,3,4,17,1
60,6,15,103,15,4,68,14,3,13,36,1
70,2,8,127,27,2,112,10,4,13,39,0
80,5,4,106,24,0,111,6,4,11,40,1
90,8,3,125,38,0,67,1,6,15,48,0
100,12,16,131,15,4,133,7,5,29,53,0
110,4,7,98,24,4,91,5,0,9,35,0
120,6,7,120,41,1,76,1,2,7,48,0
140,1,6,91,11,2,123,4,3,12,53,0
150,2,5,91,30,2,127,7,1,16,38,0
170,3,7,84,23,2,102,5,3,19,61,0
180,4,7,90,15,5,119,4,3,16,62,0
200,5,11,111,15,4,177,3,4,6,36,0
210,3,10,83,13,3,149,2,1,17,37,0
250,1,2,79,18,2,138,3,2,14,52,0
280,5,6,91,11,3,156,7,4,9,62,0
310,12,7,150,8,3,174,3,0,18,66,0
350,8,6,101,12,3,127,1,1,13,59,0
380,6,11,89,29,8,166,6,0,6,82,1
390,3,6,90,22,10,141,6,1,12,79,0
410,7,4,90,24,6,116,2,3,9,63,0
430,2,3,107,10,1,100,2,1,13,61,0
450,5,3,124,40,2,98,5,6,10,63,1
470,5,11,91,25,4,122,7,5,16,43,0
510,2,9,82,28,4,170,7,4,13,44,0
530,6,7,95,11,8,135,0,0,13,37,0
550,5,10,110,13,1,136,3,1,15,45,0
590,10,10,113,12,3,104,6,3,9,41,0
630,4,7,124,9,6,106,4,2,7,42,0
670,3,8,117,16,5,117,3,0,8,52,0
690,9,7,112,28,3,139,5,3,16,43,0
710,5,14,112,22,3,127,4,6,12,33,0
750,4,21,106,34,6,136,7,4,9,33,0
790,7,8,126,42,5,179,3,4,21,47,0
830,4,6,157,29,2,109,4,5,17,40,0
860,4,10,120,18,2,121,5,2,10,61,0
900,10,11,95,19,6,140,5,3,11,54,0
960,12,9,203,16,6,224,8,3,13,93,0
1000,11,10,136,21,1,179,6,5,10,51,1
1020,9,9,126,19,5,175,6,0,17,34,0
1040,4,10,156,11,3,118,4,1,17,45,0
1100,8,3,89,7,2,133,4,0,10,33,0
1120,7,11,112,21,3,163,6,1,15,30,0
1140,3,14,73,7,2,135,6,1,19,28,0
1160,10,8,102,8,4,142,4,1,22,16,0
1180,6,14,143,19,0,120,4,4,19,19,0
1200,8,11,145,21,2,95,3,7,22,31,0
1220,6,9,136,20,7,155,4,12,27,29,0
1240,3,12,153,15,3,187,5,7,28,25,0
1260,13,7,107,13,5,213,3,11,19,18,0
1280,5,14,83,21,4,134,6,5,25,20,0
1300,7,12,80,17,1,162,6,4,25,28,0
1320,5,7,75,12,1,152,0,1,20,27,0
1360,8,11,111,24,1,123,7,3,14,20,0
1400,6,14,86,14,7,146,4,3,17,9,0
1440,11,25,134,20,14,206,5,28,18,15,0
1480,4,17,64,16,7,141,3,8,6,10,0
1520,10,18,75,14,6,170,2,2,23,23,0
1560,6,8,84,17,7,117,6,1,16,39,0
1600,7,16,169,22,12,341,14,1,21,52,0
1640,5,11,122,10,2,181,7,8,17,27,0
1680,4,12,93,15,2,195,3,12,16,24,0
1720,2,15,88,7,11,300,7,4,10,15,0
1760,4,24,145,14,9,291,5,12,23,18,0
1800,2,8,36,3,4,148,1,2,11,13,0
1840,1,11,59,11,8,166,2,2,12,29,0
1880,3,10,55,26,7,161,2,5,7,26,0
1920,2,12,71,12,3,194,3,6,13,17,0
1960,4,8,65,14,6,159,3,0,7,11,0
2000,2,7,86,28,7,198,4,14,14,22,0
