"depths","ABIES","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CUPRESSA","PICEAX","PINUSX","POPULUS","QUERCUS","RUMEOXYR","POACEAE"
2,2,30,6,4,59,9,40,69,4,5,0,3
4,3,59,16,6,68,18,41,151,3,5,3,0
5,4,60,21,4,61,12,39,126,7,8,0,8
6,8,69,23,2,70,9,47,138,10,7,0,4
8,7,62,19,3,65,18,44,156,7,9,0,2
10,6,62,18,5,48,12,40,111,13,4,2,5
12,5,61,16,3,82,17,48,152,11,7,1,3
14,7,42,18,5,61,13,41,131,7,10,1,2
16,2,62,16,4,63,14,46,120,9,7,0,5
18,5,72,15,3,61,13,53,127,7,6,0,0
20,8,93,19,1,67,24,41,146,6,4,0,4
22,8,67,10,5,65,17,52,134,7,5,0,6
24,8,56,7,9,57,16,63,151,4,2,0,3
26,6,40,4,5,61,14,58,163,9,5,0,3
28,8,46,5,8,93,27,70,189,6,14,1,6
30,4,37,7,4,82,19,50,137,3,10,0,3
32,21,53,5,8,134,28,97,202,13,8,0,6
34,15,32,7,10,81,27,76,139,9,10,0,4
36,13,34,2,3,98,24,66,144,11,3,0,6
38,11,36,16,7,68,16,64,127,11,8,0,4
41,4,55,14,5,82,16,56,136,6,10,0,2
43,5,47,10,8,85,23,80,184,5,6,0,3
45,10,40,8,3,101,26,67,162,3,7,0,4
48,2,43,0,2,60,24,36,141,4,7,0,5
50,5,70,7,7,67,26,45,161,9,11,0,6
52,7,36,6,8,63,22,41,143,3,5,1,0
54,7,38,2,4,79,41,57,134,7,6,0,3
56,6,27,1,8,94,22,54,111,16,8,0,2
58,7,33,2,5,102,22,62,154,7,5,0,5
60,6,50,6,4,115,0,77,166,6,10,0,6
62,3,38,1,10,111,0,67,176,3,7,0,3
64,3,38,0,3,110,0,73,152,6,8,0,2
66,8,54,4,7,187,0,91,234,3,13,0,0
68,6,43,2,7,96,0,53,156,5,2,0,7
70,6,49,1,5,94,15,50,173,5,8,0,2
72,6,53,7,2,87,24,68,162,8,5,0,4
74,4,41,7,3,89,30,90,183,3,10,0,4
76,5,65,4,9,141,28,92,225,3,5,0,4
