"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CUPRESSA","PICEAX","PINUSX","POACEAE","POPULUS","QUERCUS"
0.75,4,7,4,21,2,19,162,3,1,4
1.75,6,7,2,18,3,25,145,1,3,1
3.25,1,8,6,23,6,20,135,9,6,3
5.75,11,7,4,34,2,21,110,6,4,7
8.75,12,10,2,32,6,21,114,7,3,3
11.75,7,16,2,25,5,24,138,6,6,5
14.75,8,7,3,20,7,18,111,6,6,4
17.75,7,6,6,32,3,13,147,3,3,4
20.75,15,4,6,32,2,21,131,5,2,3
23.75,9,3,5,25,2,34,150,2,3,8
26.75,10,0,3,30,1,26,136,3,5,6
29.75,2,0,0,36,2,23,126,3,8,4
33.5,5,1,3,29,0,18,142,3,1,5
36.5,10,1,4,44,2,18,169,6,2,4
39.5,9,2,2,32,3,31,133,3,6,8
46.5,15,1,4,40,3,15,136,1,0,2
