"depths","ACERX","BETULA","ERICACEX","FAGUS","PICEAX","PINUSX","QUERCUS","SPHAGNUM","TSUGAX","URTICACX","AMBROSIA","POACEAE"
1.5,3,6,10,0,25,135,22,5,3,0,5,10
7.5,0,54,216,5,11,92,22,0,11,5,96,36
10.5,1,14,39,14,3,118,6,2,39,1,28,2
13.5,3,15,4,4,6,145,5,12,28,1,4,0
16.5,2,11,9,4,7,116,5,9,46,4,0,1
19.5,3,17,4,8,8,82,5,11,68,0,2,0
22.5,3,0,0,8,3,119,3,4,70,1,0,0
25.5,0,12,14,2,10,102,15,55,51,5,0,0
28.5,2,10,12,9,9,131,6,15,46,2,0,0
31.5,3,10,0,7,7,121,10,3,46,0,0,0
32.5,3,4,0,3,2,144,7,8,31,2,0,3
33.5,7,8,3,10,6,119,4,4,39,5,0,0
35.5,1,4,0,3,10,173,0,5,24,3,2,0
36.5,4,13,7,2,4,151,2,27,17,3,0,2
37.5,3,8,8,15,2,119,14,19,35,1,0,2
38.5,5,6,2,3,4,132,10,60,38,3,2,2
39.5,3,12,27,3,7,140,7,29,24,4,5,0
40.5,0,15,15,9,4,126,6,35,35,12,0,0
41.5,8,19,11,20,3,121,9,59,21,2,0,2
42.5,7,16,5,10,2,143,5,60,23,4,0,0
43.5,14,38,8,38,4,78,11,101,19,6,3,0
44.5,6,10,9,21,1,120,5,13,29,5,1,3
45.5,6,11,11,10,0,133,2,4,28,6,2,0
46.5,0,21,11,3,3,123,7,21,35,1,2,0
47.5,4,11,9,4,8,131,8,36,31,7,9,0
48.5,5,18,8,23,7,95,3,85,47,4,0,1
49.5,5,19,10,7,3,109,9,98,42,3,0,1
50.5,4,18,15,19,8,112,9,71,33,6,3,0
51.5,2,14,16,13,10,125,8,10,32,2,0,0
52.5,1,22,24,14,7,133,7,12,21,1,4,0
53.5,0,17,33,25,8,106,4,221,42,1,2,0
54.5,5,17,15,23,4,90,10,25,44,5,0,0
55.5,2,25,22,25,9,81,6,0,46,2,2,0
56.5,6,19,38,25,7,82,6,50,43,5,5,0
57.5,2,20,25,27,5,89,6,20,40,6,5,0
58.5,0,10,0,24,10,109,4,13,40,4,0,0
59.5,1,12,5,33,7,100,4,16,30,4,0,0
60.5,7,14,19,17,5,95,5,7,56,2,0,0
61.5,11,25,13,28,0,88,6,4,39,3,2,0
62.5,8,18,7,28,5,89,6,1,54,0,0,0
