"depths","AMBROSIA","ARTEMISIA","ASTERX","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","URTICACX","RUMEOXYR"
1,60,10,4,15,10,18,15.5,36,96,22,0
10,38,12,6,20,10,24,15.5,23,74,18,0
20,37,27,6,26,16,26,28.5,35,104,10,0
30,27,20,9,24,7,35,16,40,108,10,0
40,25,13,4,21,15,26,31,30,119,8,0
50,25,18,5,16,13,15,35,32,101,2,0
60,16,23,9,13,12,13,34,40,100,6,0
70,15,38,14,21,20,20,34,56,63,10,0
80,16,27,9,11,26,14,43.5,59,65,3,1
90,25,48,8,30,37,29,77.5,80,129,8,0
100,30,42,15,20,22,20,37,62,62,7,0
110,12,50,14,27,25,26,43,78,75,6,0
120,12,22,11,27,12,23,33,62,67,7,0
130,16,32,11,7,20,8,36.5,60,65,8,0
140,24,25,10,15,24,8,33.5,75,78,8,0
150,19,23,11,13,22,18,40.5,79,90,5,0
