"depths","AMBROSIA","ARTEMISIA","ASTERX","BETULA","CHENOAMX","CYPERACE","PINUSX","POACEAE","QUERCUS","URTICACX","RUMEOXYR"
0,101,9,4,7,22,36,18,43,21,12,0
5,73,14,2,5,19,35,15,26,26,11,0
15,153,15,4,13,37,24,23.5,61,34,18,3
20,137,19,6,4,25,24,15.5,42,16,10,0
30,270,17,5,4,38,8,17,48,18,15,3
35,162,14,5,6,30,23,13.5,34,25,6,1
40,129,19,5,6,24,24,24,39,21,6,0
45,90,24,7,4,20,21,19,31,25,5,0
50,50,34,17,11,12,65,47,48,34,11,0
55,22,27,12,16,4,55,52.5,50,47,6,0
60,23,43,13,13,11,49,54.5,60,50,5,0
70,34,29,13,23,8,52,31,56,45,6,0
80,41,22,18,12,2,36,50.5,46,32,8,0
90,34,35,22,19,11,42,39,50,45,1,0
100,49,57,23,18,10,57,82,67,45,3,0
115,30,42,18,12,7,33,41,40,36,2,0
