"depths","ACERX","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","TILIA","URTICACX","RUMEOXYR"
1,9,4,13,1,4,17.5,28,44,8,26,0
5,10,8,15,6,5,25,34,45,2,17,0
10,10,19,40,28,48,36.5,56,82,9,28,1
20,9,15,18,24,12,26,48,56,10,19,0
30,16,17,28,18,17,28,24,60,14,15,0
35,6,19,28,22,25,23.5,40,72,9,25,0
40,12,11,32,11,40,18,54,75,13,28,1
45,13,20,28,28,41,26,53,67,5,24,0
55,12,20,39,24,49,32,74,88,8,14,1
60,16,11,17,15,32,15,25,71,13,15,0
65,19,20,41,25,49,29.5,37,86,10,20,0
70,23,24,43,17,42,32,32,75,10,18,0
75,19,8,32,11,35,18,26,79,12,17,0
85,33,32,44,31,72,61.5,42,116,28,39,0
95,6,15,30,26,50,21,32,67,14,6,0
100,16,17,54,21,38,45,43,59,18,9,1
105,22,10,94,31,60,38.5,81,67,17,11,0
110,31,23,118,32,84,45.5,41,117,15,18,0
115,26,20,77,34,95,31.5,31,126,15,18,0
125,19,22,55,15,75,34.5,44,108,11,17,0
135,9,18,47,16,61,49,48,91,15,23,0
150,6,12,24,10,44,28.5,19,56,6,12,0
155,4,14,23,17,17,26,31,91,3,7,0
165,2,25,39,53,26,34.5,52,116,8,7,0
170,5,22,30,20,26,33.5,23,109,2,8,0
175,0,18,40,21,10,24,17,135,7,8,0
190,2,14,19,37,21,21.5,37,81,11,7,1
200,3,20,22,12,17,26,27,79,3,8,0
