"depths","AMBROSIA","ARTEMISIA","BETULA","CHENOAMX","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS","RUMEOXYR"
1,152,10,8,21,15,24,24,48,200,30,1
10,117,9,12,24,22,26,23,50,165,22,1
20,139,6,19,13,24,22,21,66,202,30,2
30,126,9,19,16,22,33,24,78,199,16,1
40,97,9,21,8,8,23,38,49,215,29,0
50,73,11,26,8,12,23,33,44,201,31,0
60,57,13,11,13,19,18,38,36,189,22,0
70,34,12,11,6,6,22,20,19,209,15,0
80,30,10,15,5,8,13,39,19,194,16,0
90,24,12,30,10,25,18,39,16,184,8,0
100,40,16,32,9,17,22,59,31,256,17,0
110,22,16,17,2,17,12,50,28,204,13,0
120,36,21,17,9,28,7,57,33,206,7,0
130,35,20,25,4,17,7,66,30,175,9,1
140,34,16,19,8,34,7,88,42,165,9,0
150,32,25,26,10,41,4,95,59,149,9,0
160,19,27,20,6,25,7,69,28,190,5,0
170,23,18,19,3,28,6,66,45,204,5,0
