"depths","ABIES","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","LARIXPSEU","PICEAX","PINUSX","POLYPOD","QUERCUS","RUMEOXYR","POACEAE"
152,21,51,52,16,112,23,101,443,0,24,0,27
156,20,52,46,18,133,20,91,537,16,25,0,27
166,15,43,28,12,118,25,89,475,15,17,0,12
186,14,34,10,15,148,37,76,449,12,32,0,5
207,10,31,9,8,102,24,50,389,4,29,0,3
221,10,59,13,22,161,43,74,502,8,28,0,6
235,5,27,5,17,119,28,64,353,9,26,0,9
245,10,28,0,7,81,30,60,447,32,11,0,1
250,13,52,8,14,132,43,64,538,39,27,0,10
260,7,21,3,8,65,41,62,488,11,13,0,5
280,7,18,3,6,45,17,24,198,10,3,0,3
300,4,45,6,11,144,29,29,364,19,22,0,5
320,8,43,7,15,138,43,38,493,18,35,0,13
345,6,59,6,15,163,35,27,529,10,27,0,11
360,30,53,10,22,229,36,49,552,10,36,0,9
