"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","URTICACX"
1,8,27,3,26,3,4,217,8,55,5
10,11,17,13,33,2,9,214,6,44,10
20,7,22,4,30,4,15,266,13,58,3
30,16,10,8,31,17,7,265,10,73,3
40,10,4,8,25,5,2,193,5,57,3
50,23,6,8,27,11,3,177,14,73,11
60,30,7,10,35,15,10,210,17,110,4
70,23,7,9,22,10,8,166,10,75,6
80,23,3,9,29,2,4,172,6,57,7
90,28,6,7,33,6,1,127,12,100,8
100,27,8,6,29,11,7,171,7,51,1
110,24,2,5,22,9,7,163,12,86,8
120,14,5,6,21,14,16,190,11,87,14
130,17,6,4,24,9,12,151,4,86,6
140,23,8,6,25,7,14,174,7,124,10
150,21,7,8,37,17,11,115,10,118,15
