"depths","ASTERX","CHENOAMX","CYPERACE","OSTRYCAR","PINUSX","POACEAE","POLYPOD","QUERCUS","SPHAGNUM","URTICACX","RUMEOXYR"
0,24,12,16,13,15,17,120,50,1,44,0
1,19,28,17,12,12,46,122,51,0,87,1
3,24,13,21,8,12,17,65,42,0,104,0
5,32,11,16,30,12,53,161,41,2,84,0
10,62,22,8,28,9,32,845,52,9,55,0
13,66,18,11,22,24,41,1779,79,0,60,0
15,31,18,15,7,7,44,1032,47,0,59,1
20,75,24,10,17,12,63,27,65,2,26,2
23,7,11,3,5,1,34,4,25,0,8,1
25,8,8,28,20,5,60,66,59,500,21,0
27,3,5,18,6,4,25,46,32,48,22,0
30,177,11,37,19,9,72,126,90,435,37,0
35,4,5,266,8,27,44,13,116,6,13,0
40,3,5,72,19,15,22,4,73,0,18,0
45,10,3,219,51,26,33,12,130,0,10,0
50,0,2,83,20,16,0,5,78,1,20,0
