"depths","AMBROSIA","ARTEMISIA","BETULA","CHENOAMX","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS","RUMEOXYR"
1,195,18,12,31,35,21,30,81,125,52,2
10,155,13,12,19,50,28,44,110,137,50,1
20,70,15,14,15,38,36,36,196,158,36,0
30,83,15,11,15,26,21,30,97,152,41,0
40,59,22,18,4,24,21,76,66,173,15,0
50,84,18,21,7,21,27,45,156,151,29,1
60,44,21,25,8,30,14,65,184,160,12,0
70,70,40,28,12,36,18,70,127,169,7,1
80,56,36,28,5,24,16,61,162,161,9,0
90,50,30,24,15,18,12,99,180,160,9,0
100,42,36,21,9,32,15,90,379,157,5,0
110,61,41,21,23,27,14,71,86,154,11,0
120,44,25,23,14,17,9,80,79,146,10,0
130,41,25,22,12,25,19,80,55,151,10,0
140,39,19,17,11,22,21,75,51,163,15,0
150,43,32,16,10,49,16,67,114,181,14,0
160,23,23,23,14,21,22,63,134,135,18,0
170,36,23,32,16,31,15,70,251,176,7,0
180,27,26,15,21,29,30,55,86,184,17,0
