"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS"
1,9,28,8,71,8,20,45,6,45,28
5,14,39,8,72,13,35,62,14,71,32
10,10,34,8,79,2,39,51,14,79,38
15,14,16,11,92,10,22,52,8,73,22
20,6,11,10,97,6,22,52,7,60,19
25,6,11,14,94,11,30,65,10,55,16
30,9,6,15,87,13,37,58,19,47,22
35,9,0,0,78,8,30,63,0,46,21
40,9,11,11,110,4,35,61,12,62,13
50,10,13,10,61,10,46,53,10,76,20
60,7,7,12,66,13,51,48,21,104,28
70,7,8,12,53,9,53,51,3,114,21
80,10,0,13,66,8,32,73,13,155,29
90,11,4,17,50,36,30,67,22,85,12
97,15,8,16,63,24,27,70,22,106,23
