"depths","ARTEMISIA","ASTERX","BETULA","CHENOAMX","CYPERACE","PINUSX","POACEAE","QUERCUS","SALIX","URTICACX","RUMEOXYR"
2,14,7,4,34,41.5,18.5,49,61,10,36,1
20,7,8,7,32,50,22.5,72,51,6,15,1
30,12,10,8,10,39,27,46,40,7,17,1
40,25,17,24,7,52,48.5,56,91,4,19,0
45,43,34,27,10,59,65,78,119,10,32,0
50,43,24,22,9,63,44,70,92,5,32,1
60,31,24,12,7,39,51.5,41,71,3,16,1
70,17,18,9,9,35,36.5,72,42,7,15,0
80,25,20,7,18,53.5,40.5,64,50,6,30,0
100,28,14,15,5,41.5,35.5,52,66,7,16,0
119,26,20,10,9,40.5,23.5,52,42,8,24,1
