"depths","ARTEMISIA","ASTERX","BETULA","CHENOAMX","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","URTICACX","RUMEOXYR"
387,14,14,13,28,23,17,30,101,131,35,1
412,11,12,6,21,25,10,29,117,119,32,0
437,15,15,12,15,11,27,28,68,159,29,0
460,23,21,10,23,26,17,36,79,138,16,2
480,18,21,16,26,14,28,53,57,188,13,1
500,16,13,16,11,16,21,32,114,144,29,0
520,13,8,8,12,19,39,21,158,102,27,0
540,6,5,8,6,8,29,27,138,130,45,0
560,16,9,14,10,17,38,26,56,182,49,0
580,34,15,17,7,30,11,42,125,131,11,0
600,28,12,12,8,34,3,62,143,150,9,0
620,20,13,19,4,40,7,43,129,120,20,0
640,30,9,14,9,15,21,49,110,181,14,0
660,35,4,20,8,24,14,38,82,191,11,0
680,38,9,14,6,38,10,39,93,154,22,0
700,25,18,25,7,37,6,44,84,185,18,0
720,35,19,27,3,42,11,42,79,152,25,0
740,41,14,10,12,31,5,57,70,145,19,0
760,39,13,12,13,17,12,71,86,141,19,1
780,34,18,13,11,35,10,49,100,125,15,0
800,44,17,12,6,29,10,72,99,128,15,0
