"depths","AMBROSIA","ARTEMISIA","ASTERX","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS","RUMEOXYR"
387,65,14,14,13,23,17,30,101,131,21,1
412,78,11,12,6,25,10,29,117,119,23,0
437,78,15,15,12,11,27,28,68,159,22,0
460,86,23,21,10,26,17,36,79,138,15,2
480,43,18,21,16,14,28,53,57,188,11,1
500,63,16,13,16,16,21,32,114,144,24,0
520,63,13,8,8,19,39,21,158,102,25,0
540,54,6,5,8,8,29,27,138,130,41,0
560,31,16,9,14,17,38,26,56,182,47,0
580,45,34,15,17,30,11,42,125,131,5,0
600,36,28,12,12,34,3,62,143,150,4,0
620,24,20,13,19,40,7,43,129,120,9,0
640,27,30,9,14,15,21,49,110,181,10,0
660,29,35,4,20,24,14,38,82,191,9,0
680,15,38,9,14,38,10,39,93,154,14,0
700,18,25,18,25,37,6,44,84,185,13,0
720,22,35,19,27,42,11,42,79,152,17,0
740,33,41,14,10,31,5,57,70,145,13,0
760,27,39,13,12,17,12,71,86,141,11,1
780,19,34,18,13,35,10,49,100,125,8,0
800,24,44,17,12,29,10,72,99,128,9,0
