"depths","ALNUSX","ARTEMISIA","BETULA","CUPRESSA","LARIXPSEU","PICEAX","PINUSX","POACEAE","POPULUS","QUERCUS","RUMEOXYR"
1,29,10,55,11,2,34,227,17,9,10,2
6,32,17,59,23,1,28,210,17,17,14,3
10,27,10,73,25,12,34,217,16,19,18,0
16,26,19,47,24,8,41,264,8,9,7,0
20,30,6,47,34,5,23,253,21,16,10,0
24,34,7,68,13,6,39,278,17,18,11,3
26,33,13,84,21,7,39,301,13,17,11,1
30,17,3,81,32,7,35,214,14,9,16,0
32,31,8,66,30,6,43,244,8,8,14,2
34,42,13,140,39,14,55,375,15,17,17,0
36,32,11,79,31,7,28,265,6,5,15,1
38,6,6,11,2,2,4,56,1,0,2,0
40,33,5,54,40,5,31,353,3,9,11,1
50,38,14,122,48,8,41,446,10,15,12,0
60,16,11,93,46,9,25,244,11,11,6,0
70,30,15,80,42,12,24,314,4,6,8,0
80,30,4,57,39,8,6,325,10,7,6,0
90,46,10,77,59,9,20,305,6,10,8,0
100,15,6,67,49,10,31,336,11,2,6,0
110,30,9,58,51,7,27,295,5,3,9,0
120,27,8,86,49,5,42,408,12,13,10,0
130,28,7,56,40,3,32,308,6,8,3,0
140,36,7,73,26,4,24,369,8,5,10,0
150,39,7,77,41,6,22,407,3,15,8,0
