"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CUPRESSA","PICEAX","PINUSX","POACEAE","POPULUS","QUERCUS","RUMEOXYR"
1,29,33,10,55,11,34,227,17,9,10,2
6,32,20,17,59,23,28,210,17,17,14,3
10,27,32,10,73,25,34,217,16,19,18,0
16,26,30,19,47,24,41,264,8,9,7,0
20,30,29,6,47,34,23,253,21,16,10,0
24,34,20,7,68,13,39,278,17,18,11,3
26,33,21,13,84,21,39,301,13,17,11,1
30,17,19,3,81,32,35,214,14,9,16,0
32,31,16,8,66,30,43,244,8,8,14,2
34,42,15,13,140,39,55,375,15,17,17,0
36,32,4,11,79,31,28,265,6,5,15,1
38,6,3,6,11,2,4,56,1,0,2,0
40,33,6,5,54,40,31,353,3,9,11,1
50,38,7,14,122,48,41,446,10,15,12,0
60,16,2,11,93,46,25,244,11,11,6,0
70,30,6,15,80,42,24,314,4,6,8,0
80,30,4,4,57,39,6,325,10,7,6,0
90,46,3,10,77,59,20,305,6,10,8,0
100,15,5,6,67,49,31,336,11,2,6,0
110,30,2,9,58,51,27,295,5,3,9,0
120,27,6,8,86,49,42,408,12,13,10,0
130,28,4,7,56,40,32,308,6,8,3,0
140,36,5,7,73,26,24,369,8,5,10,0
150,39,0,7,77,41,22,407,3,15,8,0
160,28,1,10,67,33,32,416,10,8,5,0
