"depths","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","TILIA","URTICACX"
1555.5,21,16,5,30,6,24,26,138,3,4
1560.5,48,12,37,11,0,32.5,19,97,9,9
1564,38,19,21,29,14,63.5,46,223,6,17
1568,41,14,27,10,7,15.5,28,134,3,13
1569,22,10,11,8,6,43.5,18,154,8,5
1570.5,38,22,18,29,8,63.5,36,239,5,10
1575,27,12,12,20,3,38,25,120,5,8
1590.5,62,10,31,8,9,40.5,23,106,15,7
1610.5,16,29,12,8,7,41,33,162,1,8
1665.5,47,20,37,10,16,49.5,73,192,14,18
1715.5,12,25,17,5,2,20.5,30,152,2,9
1735.5,82,24,30,18,24,38.5,51,230,29,15
1740.5,32,13,17,9,14,12.5,33,116,21,4
1745.5,61,26,16,28,18,35.5,65,227,25,10
1765,31,16,17,5,11,47.5,55,92,10,44
1775.5,20,21,29,25,16,53,133,181,15,15
1780.5,27,35,19,36,19,47.5,93,201,17,5
