"depths","AMBROSIA","ARTEMISIA","ASTERX","BETULA","CHENOAMX","CYPERACE","PINUSX","POACEAE","QUERCUS","URTICACX","RUMEOXYR"
1,100,3,3,3,28,22,23,55,66,27,1
10,84,7,2,5,16,22,30,55,60,27,2
20,78,4,4,6,26,40,20,37,52,19,1
30,111,12,6,4,25,33,14,51,48,29,1
40,104,6,14,7,12,28,31,53,73,27,2
60,36,26,10,17,12,19,46,39,79,7,0
70,27,36,13,11,22,31,43,46,76,9,0
80,23,27,18,19,9,34,50,55,78,9,0
90,24,30,14,12,8,34,54,61,75,6,0
100,37,33,13,20,12,25,52,67,78,7,0
110,35,37,12,15,4,16,51,32,83,3,0
120,30,36,15,22,7,29,51,59,65,8,0
130,30,33,18,17,10,16,48,49,73,12,0
140,32,43,12,16,9,47,50,54,54,12,0
