"depths","BETULA","FAGUS","FRAXINUX","JUGLANSX","OSTRYCAR","PINUSX","POACEAE","QUERCUS","RUMEOXYR","URTICACX"
0,0,4,4,12,0,38,3,78,2,6
4,4,5,9,16,3,24,3,84,3,9
8,2,2,3,13,1,21,5,90,4,6
13,1,4,8,6,0,11,3,88,5,20
18,1,6,3,19,1,17,3,99,2,9
23,1,1,0,4,0,11,2,95,7,10
28,6,3,3,11,1,10,9,72,14,4
33,1,2,0,5,0,4,11,56,20,10
38,2,5,3,6,0,6,8,76,18,12
43,2,2,2,4,0,4,9,74,13,10
48,4,8,4,7,5,6,6,130,11,5
53,8,9,7,2,4,4,3,125,4,15
58,6,7,7,15,4,13,1,115,8,11
63,7,10,4,10,9,8,0,146,2,8
68,10,13,4,9,6,5,0,177,0,11
73,5,19,11,17,7,8,0,135,0,12
78,3,22,7,17,5,11,0,132,0,11
103,6,15,9,28,9,5,3,156,0,11
123,4,16,12,28,7,5,1,131,0,19
143,3,58,13,15,8,5,3,122,0,21
163,2,41,15,9,8,8,2,116,0,14
