"depths","ACERX","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","POPULUS","QUERCUS","URTICACX","RUMEOXYR"
650,38,12,10,25,28,27,109,19,226,88,1
662,26,12,15,41,25,26.5,195,8,178,78,0
670,15,6,4,24,19,19,114,6,120,51,1
680,40.5,17,14,43,41,26,176,7,264,48,3
690,19,13,11,56,24,35.5,168,9,173,34,3
702,16,7,10,24,39,20.5,104,5,139,42,1
710,23,13,16,53,66,21.5,135,21,172,47,0
714,35.5,19,30,65,88,34,131,10,228,38,0
722,41,14,11,44,137,41,86,13,254,81,1
730,10,21,22,65,134,51,78,26,265,50,0
738,8,20,33,60,168,44.5,83,24,274,73,0
742,6,21,28,63,179,54,86,25,238,44,0
750,3,20,13,57,70,32,78,20,328,23,0
754,8,26,28,57,55,24,73,21,495,24,0
762,3,19,22,51,22,54.5,78,35,442,13,1
770,5,26,27,37,18,59,91,10,434,13,0
778,2.5,26,37,61,16,89,150,15,367,16,2
786,4,28,36,58,13,68.5,201,6,317,7,0
790,2,23,28,58,23,37.5,223,12,322,9,0
803,3,31,30,54,27,84,223,8,356,16,0
810,3,32,12,54,10,103,191,4,257,13,0
830,7.5,40,28,51,20,49,245,11,368,15,0
850,5,22,27,48,30,41,198,7,271,15,0
870,6.5,18,22,60,42,59.5,297,10,282,22,0
890,4,16,21,35,23,41,419,5,363,19,0
