"depths","ACERX","ALNUSX","BETULA","FRAXINUX","PINUSX","POACEAE","POPULUS","QUERCUS","TSUGAX","URTICACX"
0,9,16,99,4,92,9,13,16,37,10
40,5,15,164,3,109,6,1,15,87,10
60,6,14,128,10,105,13,8,28,56,14
100,8,8,84,3,113,9,3,14,65,1
160,3,7,103,3,92,4,1,21,58,5
200,6,10,76,6,106,7,2,7,48,6
240,5,8,100,6,115,3,0,16,50,9
260,2,7,99,7,121,3,6,12,43,11
300,8,17,81,6,141,4,6,21,16,6
380,3,7,79,6,184,9,4,16,31,6
401,0,28,62,16,157,7,7,21,18,12
441,2,23,43,2,137,8,1,19,21,8
451,5,7,84,6,37,2,3,12,5,8
461,8,11,97,7,141,3,1,14,28,8
471,5,10,92,3,170,4,1,21,33,9
481,5,17,62,4,147,4,5,11,34,9
