"depths","ACERX","ALNUSX","AMBROSIA","BETULA","FRAXINUX","PINUSX","POACEAE","QUERCUS","TSUGAX","ULMUS"
0,9,16,14,99,4,92,9,16,37,9
40,5,15,23,164,3,109,6,15,87,8
60,6,14,20,128,10,105,13,28,56,12
100,8,8,4,84,3,113,9,14,65,1
160,3,7,3,103,3,92,4,21,58,5
200,6,10,3,76,6,106,7,7,48,6
240,5,8,1,100,6,115,3,16,50,9
260,2,7,2,99,7,121,3,12,43,11
300,8,17,6,81,6,141,4,21,16,5
380,3,7,0,79,6,184,9,16,31,6
401,0,28,2,62,16,157,7,21,18,12
441,2,23,0,43,2,137,8,19,21,6
451,5,7,2,84,6,37,2,12,5,6
461,8,11,0,97,7,141,3,14,28,7
471,5,10,2,92,3,170,4,21,33,7
481,5,17,3,62,4,147,4,11,34,8
