"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS","RUMEOXYR"
0,4,111,12,29,9,8,26.5,66,75,17,1
5,2,79,14,24,9,7,28,66,62,16,1
10,9,111,14,40,16,20,48.5,75,81,15,0
20,4,97,15,36,15,37,45.5,103,63,13,0
25,8,56,6,44,10,30,34.5,67,63,21,0
30,9,42,9,54,19,30,19,42,73,15,0
35,12,23,15,66,16,32,31,58,93,20,0
40,8,19,20,70,13,50,17,32,65,12,0
50,13,13,7,91,16,64,25.5,49,90,14,0
60,11,7,14,50,8,38,42.5,115,196,6,0
70,6,9,12,47,17,16,29,60,135,4,0
80,9,11,13,39,27,24,42,80,163,6,1
90,7,20,27,51,13,16,34,44,156,11,1
100,8,9,7,18,17,19,22,58,130,4,0
110,8,6,9,37,12,14,16,99,82,8,0
125,8,13,7,51,16,38,16,41,108,8,0
145,7,10,27,14,17,16,32,40,94,2,0
165,9,19,23,21,21,11,32.5,39,130,8,0
175,11,11,17,7,12,7,21.5,39,111,7,0
190,14,13,30,20,11,4,16.5,43,131,5,0
