"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","PINUSX","POACEAE","QUERCUS","SPHAGNUM","ULMUS","RUMEOXYR"
0,1,14,0,14,11,21,17,63,26,6,3
5,7,109,6,20,70,43,70,23,105,3,5
10,25,81,4,19,43,20,10,49,188,6,0
15,6,89,3,31,84,20,38,109,207,12,0
20,5,86,3,18,30,12,16,92,76,12,3
25,11,130,6,22,61,17,31,105,145,12,0
30,9,146,3,15,11,6,38,66,11,8,1
35,13,21,11,36,60,95,15,109,64,23,0
40,37,22,25,71,85,181,27,162,3,18,0
45,21,10,23,32,47,103,17,71,3,9,0
50,7,12,2,37,34,53,9,33,5,7,0
60,11,19,13,22,56,58,20,45,6,4,0
70,12,8,16,19,29,73,28,69,60,1,0
76,13,13,13,27,85,124,32,134,25,4,0
80,7,11,14,10,37,60,20,51,4,9,0
85,20,16,24,20,111,139,32,135,3,3,0
90,8,6,12,25,50,60,19,77,3,0,1
96,17,22,11,21,41,95,21,84,4,3,1
100,13,12,14,21,49,55,30,67,7,5,1
110,16,11,10,16,8,66,10,104,1,3,1
120,7,5,11,23,14,47,23,96,0,6,0
