"depths","ALNUSX","AMBROSIA","ARTEMISIA","ASTERX","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","RUMEOXYR"
1,37,89,10,19,49,66,12,83.5,83,156,3
1,20,68,5,12,32,39,12,72,44,121,0
10,31,90,15,17,51,67.5,17,96.5,75,192,0
15,32,19,11,6,41,27,13,91,40,149,1
20,18,11,6,7,21,17,8,75,10,94,0
30,38,20,14,13,33,32.5,13,84.5,41,153,0
40,30,5,13,9,36,30,3,110,23,106,0
50,30,6,10,22,19,28.5,5,81.5,35,107,0
60,31,3,7,2,29,12,17,73,17,105,0
80,70,18,15,9,63,50,20,122.5,36,243,0
100,27,6,7,7,15,15,6,64,12,105,0
110,34,6,8,9,18,13,10,68.5,17,95,0
120,11,6,6,33,8,32.5,5,31,19,32,0
130,23,8,7,6,24,28,12,70.5,25,123,0
