"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","LARIXPSEU","OSTRYCAR","PINUSX","POACEAE","QUERCUS"
1,21,34,6,49,10,4,3,181,24,31
10,18,33,19,52,8,11,3,238,38,16
20,17,19,14,59,14,12,1,235,13,21
30,10,15,19,49,17,11,6,174,15,32
40,17,7,19,62,11,12,3,202,23,16
50,10,12,8,34,6,7,7,233,29,12
60,12,8,10,46,10,8,7,257,47,16
70,16,6,6,32,10,10,5,260,50,20
100,14,1,12,79,8,9,20,152,63,19
120,26,3,10,62,13,9,9,169,149,25
140,8,2,8,37,5,7,7,190,224,19
160,10,2,12,44,2,9,2,219,14,13
180,16,2,10,61,9,4,13,161,44,19
