"depths","ALNUSX","AMBROSIA","BETULA","OSTRYCAR","PICEAX","PINUSX","POACEAE","QUERCUS","TSUGAX","ULMUS"
0.25,6,4,62,0,2,98,2,29,1,5
1.25,6,24,66,1,4,95,4,28,4,4
2.25,10,29,80,4,4,117,2,35,2,6
3.25,14,29,50,0,4,123,4,20,2,4
4.25,7,28,51,4,5,129,10,15,3,8
5.25,13,24,53,8,2,114,11,21,7,1
6.25,6,32,62,9,2,106,5,15,8,3
7.25,18,22,49,5,1,113,10,18,14,1
8.25,11,37,91,10,8,162,11,16,8,5
9.25,9,13,74,6,4,178,7,10,10,0
11.75,5,14,50,4,4,121,1,10,9,2
12.75,8,9,59,3,6,159,3,8,9,7
15.25,3,7,48,1,7,124,1,4,12,3
17.25,2,0,53,4,6,161,3,17,9,3
28.75,2,1,27,4,6,158,0,10,9,1
39.5,4,4,78,2,3,306,3,17,17,7
