"depths","ACERX","ALNUSX","BETULA","CUPRESSA","OSTRYCAR","PICEAX","PINUSX","QUERCUS","TSUGAX","ULMUS","AMBROSIA","RUMEOXYR","POACEAE"
13,11,7,64,7,6,0,101,12,58,5,5,0,1
14,13,3,80,5,4,2,122.5,20,75,8,2,0,2
15,12,5,76,6,2,2,120.5,12,57,2,6,0,2
16,14,7,92,1,8,5.5,129,19,46,5,1,0,0
17,7,6,82,5,2,4,134,20,51,3,0,0,1
18,16,6,93,13,3,0,140.5,32,65,4,3,0,1
19,15,10,69,6,2,2,132,34,45,6,2,0,0
21,8,4,83,4,5,5,144,6,42,6,3,0,1
22,5,9,68,5,6,5,143,13,32,2,1,0,2
27,3,11,71,0,4,0,65.4,11,25,3,0,0,4
34,4,4,52,7,7,2,96.5,17,20,4,2,0,1
39,5,2,55,2,6,4.5,240.5,20,9,4,1,0,2
53,6,12,84,17,6,5,159,18,16,5,1,0,0
67,4,3,74,7,7,4,121,25,13,5,0,1,3
102,2,0,46,5,2,1,175,16,18,3,0,0,0
105,11,10,102,23,2,0,174.5,17,22,3,3,0,4
110,4,5,93,10,1,4.5,167.5,24,31,7,1,0,1
115,8,3,96,25,2,8.5,190.5,22,24,5,4,0,3
120,12,7,88,45,3,4,192,18,23,5,3,0,1
125,6,10,96,23,6,6.5,177,16,25,8,2,0,0
130,8,13,75,11,8,0,204,25,6,2,2,0,0
132,3,8,63,8,4,3,196.5,26,16,4,2,0,0
142,4,7,87,6,0,1,165.5,26,15,6,0,0,1
148,4,12,57,14,3,4,145,8,12,1,5,0,1
150,8,6,71,6,3,2,147.5,17,13,5,1,0,2
154,8,12,81,10,7,1,102.5,30,47,7,2,0,0
168,13,8,64,37,3,4,156.5,26,33,6,0,0,0
182,7,15,91,5,4,2,138,18,30,4,4,0,1
