"depths","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","FRAXINUX","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS","RUMEOXYR"
165,55,9,2,10,8,3,11,104,55,7,0
170,50,4,7,7,9,5,15,166,67,7,0
180,35,3,4,3,2,5,17,166,68,8,0
185,24,3,7,9,1,5,15,208,69,7,1
195,10,6,14,6,9,5,37,38,115,11,0
200,12,14,13,20,5,13,34,50,134,12,0
210,13,15,7,8,10,10,38,32,120,12,0
215,6,9,8,6,3,11,25,42,137,7,0
225,6,8,12,7,9,14,22,43,139,15,0
240,11,8,13,12,6,4,26,63,129,1,0
260,16,10,8,10,5,6,19,81,117,2,0
275,13,11,11,2,6,4,23,76,101,6,0
