"depths","ALNUSX","AMBROSIA","BETULA","OSTRYCAR","PINUSX","POACEAE","POLYPOD","POPULUS","QUERCUS","ULMUS","RUMEOXYR"
10,17,38,66,2,65,20,0,10,128,14,3
20,20,60,31,7,97,15,2,6,108,11,2
30,13,67,41,4,68,19,1,6,105,11,5
40,25,104,34,5,94,23,5,14,134,8,6
50,14,57,38,6,87,24,9,27,102,7,5
60,29,45,32,4,112,32,5,6,64,9,8
70,27,62,39,1,139,11,11,3,46,6,6
80,20,33,38,12,178,21,20,7,50,5,1
90,15,34,46,9,190,24,8,2,34,6,3
100,23,46,43,6,117,16,21,11,58,5,4
110,16,34,54,9,92,22,31,4,86,9,10
120,19,35,71,8,130,14,20,8,87,14,4
130,15,20,92,12,107,14,19,10,76,15,0
140,6,15,93,14,82,8,14,8,94,10,1
150,18,6,109,10,75,2,1,9,80,8,0
160,14,5,131,16,91,9,2,9,64,12,0
170,15,7,133,17,86,5,1,11,74,7,0
180,16,7,129,15,63,5,0,9,90,10,0
190,15,9,148,17,89,4,4,10,70,9,0
200,39,1,130,33,108,5,1,14,117,17,0
210,26,9,84,15,132,12,0,11,100,10,0
246,21,2,89,15,98,8,2,11,91,7,0
286,31,4,45,15,175,1,1,1,70,6,0
324,10,6,80,15,152,3,0,6,94,1,0
364,13,10,62,23,180,5,5,6,81,6,0
402,21,5,58,7,192,8,4,9,144,8,1
450,19,2,81,17,216,6,1,5,164,6,0
491,10,4,56,4,107,6,1,9,167,6,0
530,20,16,105,12,169,7,1,3,148,7,0
570,22,5,49,7,213,14,4,6,94,5,1
610,22,4,53,1,151,7,5,5,118,3,0
650,26,6,45,5,189,7,4,7,107,3,0
690,15,7,48,3,158,8,3,6,120,2,0
730,29,11,93,11,198,9,17,13,174,8,0
770,22,3,66,7,211,8,2,7,160,6,0
810,18,13,40,4,216,9,5,9,92,6,0
850,17,5,58,2,160,8,2,3,131,6,0
890,29,13,52,13,202,8,5,12,69,5,0
930,37,3,51,6,153,13,6,4,92,3,0
