"depths","ABIES","ALNUSX","AMBROSIA","ARTEMISIA","ASTERX","BETULA","PICEAX","PINUSX","POACEAE","QUERCUS"
0.25,1,10,12,5,3,49,12,121,4,6
1.25,2,9,10,1,0,38,16,107,3,6
2.75,3,14,9,3,0,36,18,116,3,3
4.25,2,7,5,3,2,31,14,119,5,8
5.25,2,15,9,2,3,35,9,107,2,9
6.25,1,11,10,7,2,54,17,112,5,2
8.25,2,10,12,5,4,64,21,157,2,9
9.25,6,11,13,5,3,30,19,131,0,2
11.25,1,12,0,0,0,23,17,128,3,4
12.75,2,10,4,3,2,32,8,135,3,4
14.75,5,7,8,4,0,39,15,131,1,5
17.25,1,9,3,3,1,53,17,118,2,7
19.75,3,6,2,0,2,60,21,139,3,5
22.75,2,10,3,3,1,28,13,134,0,3
28.75,4,10,3,1,0,36,17,127,0,5
49.5,2,6,0,0,2,42,23,140,0,5
