"depths","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","POACEAE","POPULUS","QUERCUS","TSUGAX","ULMUS","RUMEOXYR"
2.5,28,11,95,2,8,17,8,27,41,5,1
5.5,26,8,149,6,3,6,10,41,58,7,0
11.5,7,2,214,5,3,2,2,21,118,10,0
17.5,5,4,140,4,1,2,4,23,91,8,0
23.5,4,2,114,1,4,1,9,18,144,5,0
29.5,3,4,138,3,9,1,8,30,171,2,0
35.5,5,6,125,2,4,2,1,37,141,5,0
41.5,2,7,109,3,6,3,17,11,136,8,0
47.5,6,7,143,2,6,2,6,20,114,9,0
53.5,5,1,176,4,15,1,4,39,285,11,0
59.5,7,3,100,4,9,2,6,20,134,8,0
65.5,2,5,157,6,3,1,3,24,150,12,0
71.5,2,8,181,4,9,1,2,22,96,12,0
77.5,3,4,151,1,6,1,0,26,146,6,0
83.5,8,6,134,3,7,1,1,31,152,9,0
89.5,6,3,134,2,5,4,7,20,132,12,0
95.5,0,4,153,2,3,7,7,52,119,19,0
101.5,5,2,91,6,7,4,8,18,71,12,0
107.5,4,6,172,5,5,5,13,40,106,11,0
113.5,1,1,108,4,4,3,12,26,72,15,0
119.5,1,2,166,8,1,7,3,25,103,12,0
125.5,8,8,197,8,12,5,9,63,57,11,0
131.5,4,7,169,15,9,6,7,69,75,20,0
137.5,6,9,193,11,4,6,22,95,38,21,0
140.5,2,6,113,13,11,11,8,46,35,17,0
148,6,4,90,11,9,7,17,68,15,11,0
154,4,3,107,4,10,3,3,46,18,12,0
160,2,4,186,3,11,4,11,65,5,12,1
166,5,5,127,6,12,7,9,51,12,21,0
172,6,2,167,7,10,7,13,78,3,14,0
