"depths","AMBROSIA","ARTEMISIA","ASTERX","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS","RUMEOXYR"
5,109,14.5,24,6,63.5,15,27,83,102,17,1
15,26,7,2,2,14.5,3,13.5,29,30,10,0
20,56,17,11,15,25.5,18,25,39,71,18,0
25,44,18,16,12,34,10,16.5,46,74,15,0
30,27,27,13,16,27,33,31,41,104,22,0
35,31,25,8,10,27,19,23.5,40,92,12,0
40,25,18,14,10,22,8,14.5,33,65,6,0
45,22,12,12,3,12.5,5,21.5,26,53,8,0
50,21,15,6,11,11.5,5,25.5,35,55,12,0
55,30,20,10,7,23,6,28,41,81,10,0
60,68,76,33,33,113.5,34,86,179,222,20,0
70,15,21,21,16,35.5,10,34,59,92,6,1
80,13,19,14,7,30.5,7,36,47,63,8,0
100,14,17,20,7,30.5,9,31.5,53,73,12,1
115,21,28,14,8,27.5,10,31,64,70,11,0
