"depths","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PICEAX","POACEAE","POPULUS","QUERCUS","ULMUS","RUMEOXYR"
0.5,14,3,43,0,1,0,7,18,84,3,1
9.5,49,4,25,4,1,3,11,8,64,1,0
14.5,14,6,37,1,2,3,5,9,44,7,0
16.5,6,3,86,5,9,8,3,6,56,8,0
17.5,4,9,76,3,9,6,9,0,41,6,0
19.5,4,5,50,3,1,0,4,3,42,6,0
23.5,3,3,63,8,9,1,4,5,37,4,0
26.5,3,1,47,3,5,1,3,2,30,6,0
28.5,9,2,43,2,13,1,2,6,29,3,0
32.5,2,3,33,2,5,2,0,1,25,4,0
36.5,3,0,37,6,4,4,0,2,38,2,0
39.5,5,3,57,6,6,7,6,4,35,3,0
44.5,4,3,30,1,4,2,2,3,34,2,0
48.5,4,5,52,2,6,2,8,2,57,5,0
49.5,3,2,17,1,7,4,6,5,31,1,0
52.5,7,2,37,0,5,2,4,5,29,6,0
56.5,1,2,33,2,5,2,3,4,18,3,0
59.5,4,0,19,1,2,3,2,5,14,0,0
64.5,0,3,18,2,0,7,2,2,30,2,0
68.5,7,6,30,3,7,5,4,5,36,1,0
69.5,6,1,45,3,1,2,5,9,39,0,0
72.5,7,2,29,2,3,3,5,9,54,0,0
76.5,5,4,36,5,2,7,6,4,34,3,0
79.5,8,8,47,2,1,3,2,11,62,4,0
80.5,5,10,31,6,2,10,6,8,32,1,0
84.5,8,7,31,2,2,3,7,2,26,0,0
88.5,3,3,39,1,2,7,8,1,25,2,0
92.5,4,3,39,2,2,4,7,2,14,0,0
96.5,4,3,31,4,3,5,2,1,26,7,0
99.5,2,5,51,4,7,0,4,5,36,3,0
101.5,1,6,42,5,3,6,1,4,16,4,0
105.5,4,1,31,0,0,3,1,4,42,3,0
109.5,6,6,26,3,2,0,4,5,61,2,0
113.5,3,2,37,1,0,2,9,7,51,3,0
117.5,6,4,27,3,8,2,4,5,59,7,0
119.5,5,4,53,6,3,0,9,3,68,0,0
121.5,3,5,62,6,8,2,11,3,54,12,0
