"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CUPRESSA","PICEAX","PINUSX","POACEAE","POPULUS","QUERCUS","RUMEOXYR"
1,39,48,6,116,30,86,928,16,19,31,1
2,33,44,14,67,45,77,684,15,6,20,0
3,48,85,10,74,45,77,842,20,9,13,2
4,69,56,12,135,39,117,1054,16,30,16,0
5,119,71,11,186,52,123,1320,18,16,16,0
6,75,64,18,158,45,76,1010,23,34,17,0
7,103,71,13,182,32,109,1154,16,18,22,0
8,109,23,19,182,60,88,1032,12,15,16,2
9,113,18,19,174,59,111,1084,18,17,23,0
10,36,6,6,89,25,34,418,8,11,3,1
11,129,12,21,181,34,114,1180,8,16,21,0
12,70,11,11,194,29,99,974,15,10,15,0
13,47,5,3,77,9,56,504,3,4,15,0
14,37,7,6,73,12,46,426,4,0,9,0
15,101,12,20,192,42,135,1444,12,15,21,0
16,37,1,7,81,28,59,602,7,4,10,2
17,91,24,13,212,42,143,1410,12,11,39,0
18,52,6,5,87,11,44,752,7,5,13,0
19,23,2,11,71,8,23,484,7,4,5,0
20,54,2,12,92,19,43,686,7,4,13,0
21,63,5,9,80,9,31,444,5,4,9,0
22,78,8,12,132,26,74,1196,5,5,18,1
23,32,0,3,49,12,23,472,3,1,9,0
24,91,4,10,72,19,51,892,5,9,10,0
25,34,7,6,55,13,44,650,0,4,9,0
26,107,8,14,142,39,119,1390,9,9,19,0
27,74,6,12,134,42,107,773,11,14,28,0
28,47,3,12,96,64,95,732,8,9,15,0
29,21,6,7,113,33,99,522,9,8,11,0
30,54,11,9,138,42,74,868,9,7,14,0
31,55,5,7,75,14,42,526,4,7,6,0
32,115,3,11,136,35,101,709,5,7,22,0
33,52,11,11,156,36,109,567,11,10,14,0
34,66,7,14,149,63,86,815,7,4,27,0
35,44,1,14,114,29,91,934,9,6,17,1
36,39,5,6,108,29,75,471,7,13,14,0
37,52,2,7,83,19,48,788,4,7,14,0
38,74,9,18,138,39,90,1033,11,17,16,0
39,30,1,5,72,11,19,544,3,2,3,0
40,63,8,8,115,60,49,924,12,19,24,0
41,28,5,5,69,22,22,610,7,7,9,0
42,129,12,13,176,37,64,1128,17,17,28,0
43,52,2,3,62,17,52,586,9,3,12,0
44,27,3,4,41,28,31,309,2,1,4,0
45,31,0,4,45,19,44,404,5,10,4,0
46,24,1,12,47,19,35,348,2,0,7,0
47,50,1,12,92,0,32,597,4,4,13,0
48,30,1,5,47,19,26,358,4,1,3,0
49,34,2,3,61,26,32,382,1,1,8,0
50,29,2,8,72,24,36,534,1,8,9,0
51,30,2,10,95,29,40,472,3,6,12,0
52,61,7,14,118,58,82,737,4,7,10,0
53,32,4,6,75,22,50,612,0,5,8,0
54,29,2,3,70,24,52,410,4,6,10,0
55,23,2,5,85,51,50,503,4,3,6,0
56,38,2,4,79,29,34,446,2,6,7,0
57,47,5,5,101,35,40,461,6,6,3,0
58,18,1,1,74,41,31,299,2,7,8,0
59,18,4,4,63,27,31,538,3,3,5,0
60,39,2,4,84,45,39,447,3,6,4,0
61,44,0,3,74,41,29,429,4,8,5,0
62,37,0,7,69,18,23,558,5,7,5,0
63,42,3,5,58,22,35,506,9,0,6,0
64,42,0,6,33,22,18,502,1,1,3,0
65,56,1,2,30,26,23,322,3,4,6,0
66,24,0,2,53,41,39,357,6,2,3,0
67,35,2,9,62,50,37,387,5,1,12,0
68,21,3,7,55,23,29,444,4,11,3,0
