"depths","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PICEAX","POACEAE","POPULUS","QUERCUS","ULMUS","RUMEOXYR"
0.5,47,1,121,3,1,1,13,24,138,16,0
6.5,41,2,52,3,3,1,9,1,73,6,0
9.5,54,4,104,4,0,1.5,14,36,125,10,1
14.5,21,12,86,1,6,6,6,18,78,6,0
17.5,4,11,98,7,7,6,7,4,72,13,0
20,9,7,118,4,10,2.5,8,6,64,12,0
24.5,7,9,80,10,16,2,4,12,71,12,0
30.5,15,9,78,4,13,3.5,7,4,58,12,0
34.5,16,10,121,6,11,7.5,4,6,115,4,0
39.5,10,6,90,5,10,7.5,6,10,105,3,0
44.5,12,5,56,3,3,4,3,8,95,10,0
49.5,6,6,48,6,7,7,7,11,88,3,0
54.5,7,9,57,8,3,4.5,4,10,148,1,0
60.5,6,6,87,7,6,5.5,5,4,113,6,1
64.5,2,2,45,2,1,4,7,11,63,5,0
69.5,3,7,72,9,1,3,4,7,76,9,0
74.5,6,6,44,7,3,5.5,12,14,111,8,0
79.5,5,5,92,6,4,3.5,4,12,106,5,0
84.5,1,5,11,1,4,0.5,4,0,33,4,0
89.5,5,5,24,3,0,3,5,8,44,1,0
94.5,6,5,18,2,1,2.5,5,3,39,2,0
99.5,4,4,52,6,2,6.5,9,6,62,3,0
104.5,2,4,33,3,4,2.5,4,7,28,5,0
109.5,1,2,27,3,0,0,3,4,29,2,0
114.5,3,3,23,3,2,1.5,3,6,72,4,0
119.5,7,5,67,6,0,4.5,9,8,122,5,0
125.5,5,9,43,5,3,6,7,5,96,6,0
131.5,4,11,65,2,4,4.5,13,12,146,6,2
