"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","LARIXPSEU","PICEAX","PINUSX","POACEAE","POPULUS","QUERCUS"
0.25,16,11,5,30,3,11,125,7,6,7
3.25,19,7,2,30,0,13,108,6,3,6
5.75,14,9,5,45,6,11,147,8,6,5
7.75,13,3,2,29,1,12,115,5,3,2
9.75,11,7,3,35,1,14,141,6,3,3
11.25,19,7,4,37,2,12,118,2,1,3
12.75,28,10,2,30,3,14,115,7,8,4
14.5,4,9,4,39,2,17,127,4,5,6
15.25,20,5,3,34,2,12,126,8,2,6
17.25,16,5,4,32,3,19,123,3,4,0
18.75,17,4,9,44,2,19,129,2,6,4
19.75,9,7,4,27,3,9,128,3,1,6
20.75,18,5,4,44,1,13,144,2,4,4
23.25,13,3,2,33,4,6,125,6,4,1
26.25,13,0,1,37,4,13,122,2,1,2
28.25,17,0,3,38,2,15,130,4,2,2
30.5,20,2,3,28,3,7,132,3,2,5
35.5,9,5,4,23,1,21,149,1,2,3
