"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CUPRESSA","CYPERACE","PICEAX","PINUSX","POACEAE","QUERCUS","RUMEOXYR"
1,19,41,6,56,6,8,10,156,33,53,0
10,21,37,9,59,9,10,9,176,26,25,1
20,14,21,4,41,8,6,9,205,18,19,0
25,18,22,4,47,4,5,7,208,8,23,0
30,14,12,7,45,6,5,9,241,11,16,0
35,7,4,7,57,6,4,2,215,3,14,0
40,8,6,5,58,7,5,6,228,5,11,0
50,22,3,10,48,3,2,3,189,3,9,0
60,10,2,4,36,4,3,3,254,9,12,0
80,23,3,1,49,2,1,1,198,10,17,0
100,20,6,5,64,9,2,4,214,11,19,0
115,14,3,8,55,10,3,2,218,14,19,0
140,10,7,8,60,3,2,6,222,3,20,0
160,15,4,3,54,0,3,1,210,11,22,0
