"depths","ACERX","ALNUSX","AMBROSIA","BETULA","OSTRYCAR","PINUSX","POACEAE","POPULUS","QUERCUS","ULMUS","RUMEOXYR"
10,7,25,49,70,5,55,17,12,119,16,3
20,7,19,79,60,3,83,12,3,123,7,6
30,9,18,68,38,2,82,13,2,120,11,3
40,9,21,92,31,2,73,17,9,88,8,4
50,5,18,61,45,6,92,21,10,82,5,8
60,3,21,52,47,2,120,17,18,89,10,5
70,3,26,41,40,6,136,26,2,57,2,1
80,7,34,35,47,8,151,17,4,74,8,0
90,8,19,24,44,10,130,21,6,58,7,4
100,4,28,33,62,10,117,14,7,57,9,0
110,8,19,28,64,9,104,7,6,95,15,0
120,11,19,19,101,16,113,12,4,83,17,1
130,15,8,10,85,14,108,6,13,91,9,0
140,10,17,12,90,10,124,5,9,122,14,0
150,12,5,2,112,28,146,2,5,92,7,0
160,14,14,4,82,14,105,5,15,104,13,0
170,23,13,4,92,18,137,7,11,86,17,0
180,10,13,5,89,16,126,5,5,134,7,0
190,3,30,5,79,24,132,6,10,94,10,2
200,6,9,4,70,11,133,8,14,113,7,0
210,7,24,0,98,21,114,6,7,98,5,0
250,12,25,5,81,10,182,7,7,96,3,0
290,8,23,3,38,15,181,7,3,59,6,1
330,6,17,8,70,17,224,11,6,67,10,0
370,9,14,4,54,17,240,9,2,66,0,0
410,10,9,2,50,10,193,6,2,90,3,0
450,7,14,9,43,9,152,1,1,109,9,0
490,3,17,7,69,14,129,2,17,148,7,0
530,8,23,3,62,5,147,13,6,125,3,0
570,4,13,8,69,3,131,6,6,128,5,0
610,4,31,7,64,19,197,10,1,89,4,0
650,8,35,5,40,16,219,8,6,53,4,0
690,4,29,5,50,12,170,9,8,99,10,0
730,6,36,8,52,6,171,14,2,100,1,0
770,4,20,5,54,2,184,6,2,79,5,0
810,1,23,0,62,3,143,2,11,110,3,0
