"depths","AMBROSIA","ASTERX","BETULA","CYPERACE","LARIXPSEU","PICEAX","PINUSX","POACEAE","POLYPOD","QUERCUS"
1,110,20,33,97,27,0,47,17,68,161
7,75,6,5,25,77,1,16,8,19,33
13,5,3,1,89,85,1,90,8,30,26
19,3,3,8,101,43,1,95,8,28,40
25,3,3,13,94,61,7,67,9,76,20
31,4,4,13,34,51,4,73,8,65,19
37,3,2,6,54,56,4,94,6,20,18
43,4,2,6,56,60,4,86,7,11,14
49,4,1,4,91,33,6,121,11,8,31
62,5,2,1,47,9,3,82,6,8,22
72,3,2,1,50,33,5,118,8,3,25
79,9,3,5,160,4,2,137,9,5,48
88,4,4,5,115,1,3,114,7,40,45
98,5,0,3,230,3,3,186,13,9,48
105,2,2,4,202,0,7,167,10,9,38
111,5,4,2,120,0,1,70,9,3,22
116,4,1,2,316,1,6,145,9,14,52
121,3,2,2,180,2,5,119,7,5,43
