"depths","ALNUSX","AMBROSIA","BETULA","CYPERACE","EQUISETU","ERICACEX","PICEAX","PINUSX","QUERCUS","SPHAGNUM","RUMEOXYR","POACEAE"
5,67,15,60,1,0,1,28,174,5,87,0,7
10,50,17,38,6,0,5,14,157,6,12,0,5
15,20,14,57,11,1,1,28,136,8,20,1,7
20,18,18,45,9,0,6,25,126,6,53,0,4
25,41,33,28,12,1,6,36,141,17,436,1,7
35,41,29,15,2,1,113,49,166,2,5,0,5
40,33,8,51,16,0,11,39,274,7,137,0,3
50,32,3,49,5,0,16,35,264,5,130,0,4
65,27,2,51,4,0,4,23,343,5,225,0,7
75,36,2,48,18,0,5,20,212,6,168,0,4
80,39,2,32,10,1,2,24,223,5,186,0,5
95,24,4,31,32,15,3,12,161,6,27,0,7
110,57,3,64,8,0,1,29,264,5,151,0,6
125,25,4,42,7,1,0,20,135,7,171,0,6
130,62,4,72,23,4,1,25,302,6,127,0,7
135,36,6,52,57,2,40,5,198,29,2873,0,7
140,19,6,41,16,0,1,2,272,13,17,0,9
145,7,0,19,37,0,7,1,213,8,51,0,6
150,16,1,22,70,0,1,1,169,11,22,0,3
155,19,5,22,11,196,0,0,179,9,0,0,8
160,17,3,17,8,63,0,1,276,15,1,0,5
165,14,7,28,11,1,0,2,150,10,2,0,6
175,25,4,34,12,1,0,13,165,3,0,1,8
