"depths","AMBROSIA","ARTEMISIA","ASTERX","BETULA","CHENOAMX","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","RUMEOXYR"
1,75,9,6,13,13,5,4,19,44,116,2
5,65,12,6,13,16,2,2,25,36,83,2
15,180,8,8,17,21,9,5,19,61,91,0
20,170,14,5,14,25,8,6,20.5,56,62,0
30,138,21,9,18,20,8,16,26,79,124,0
35,45,19,11,12,6,9,8,25.5,43,57,0
45,26,28,12,46,7,32,34,51.5,56,117,0
55,12,21,5,25,7,31,22,63.5,52,94,0
60,8,16,5,22,6,13,19,33,40,60,0
70,23,23,9,39,3,20,24,56,77,99,0
80,37,38,18,30,12,26,21,43.5,61,82,0
90,37,32,8,30,5,25,17,52.5,57,117,0
95,26,18,5,22,3,19,21,32,38,91,1
100,52,37,14,39,2,17,23,66.5,73,130,0
110,44,37,21,50,7,26,34,106.5,88,124,1
115,32,36,17,25,5,33,17,70,67,73,1
120,48,31,9,30,5,26,15,59.5,54,75,0
130,21,19,8,23,8,28,6,41.5,57,48,0
135,30,40,19,19,6,45,10,88.5,77,73,0
140,11,19,6,15,5,21,4,52.5,53,36,0
150,25,40,19,25,12,27,21,76.5,88,70,0
165,27,32,10,15,3,26,10,61,57,60,1
170,25,59,21,31,9,36,17,88.5,85,80,0
185,18,21,3,9,5,13,7,32,38,47,0
