"depths","AMBROSIA","ARTEMISIA","BETULA","CORYLUS","EQUISETU","PICEAX","POACEAE","POPULUS","QUERCUS","ULMUS","RUMEOXYR"
0.5,48,9,53,6,6,2,16,9,110,3,2
5.5,40,7,23,6,5,10,10,12,102,9,6
11.5,57,2,21,3,5,10,9,11,68,4,10
17.5,67,4,30,5,11,20,15,9,24,3,7
23.5,38,8,40,5,2,23,15,6,45,0,4
29.5,7,4,50,4,1,19,9,2,33,2,8
31.5,6,6,33,1,0,3,5,0,17,3,0
35.5,7,9,54,2,3,14.5,14,8,34,4,3
38.5,0,2,26,3,0,2,5,3,12,5,0
41.5,3,6,32,1,4,9,6,7,30,3,2
47.5,3,2,29,2,5,24,9,9,23,3,1
53.5,3,8,52,0,4,13,5,9,29,4,1
59.5,1,4,43,2,12,11,9,8,31,5,2
65.5,4,4,43,3,11,5,11,6,30,5,0
71.5,2,5,36,3,11,8,3,7,21,3,0
77.5,4,4,42,2,20,1,2,9,20,2,0
83.5,3,5,42,1,11,2,1,2,27,4,1
89.5,1,5,46,2,11,5,7,10,27,1,0
95.5,4,5,24,1,3,10,4,4,20,3,0
101.5,1,4,20,5,5,3,7,7,23,1,0
107.5,2,4,47,2,13,8,8,2,26,2,1
113.5,0,2,45,6,10,7,7,2,32,4,1
119.5,0,6,19,7,22,4,10,4,28,3,1
125.5,4,5,33,7,5,3,5,5,35,4,2
130.5,1,3,33,7,14,4,8,9,24,5,2
136.5,2,8,25,10,7,8,8,8,28,5,2
142.5,0,6,44,5,11,12,14,5,24,8,2
148.5,0,9,42,5,10,15,13,4,28,3,0
154.5,0,4,43,11,11,10,3,1,40,3,3
160.5,2,5,40,4,7,6,4,3,29,3,1
166.5,0,8,29,6,8,40,7,6,18,2,0
172.5,2,7,33,4,15,11,14,4,34,6,1
178.5,4,4,35,3,7,5,13,5,31,5,3
184.5,1,6,25,3,8,10,2,3,35,3,0
190.5,1,5,31,4,10,15,9,0,30,1,0
196.5,3,6,32,3,6,16,10,3,25,1,0
202.5,0,6,40,2,9,28,6,3,22,7,2
208.5,3,5,45,2,7,10,5,0,34,5,1
214.5,3,4,47,3,6,13,5,6,29,5,2
220.5,1,5,45,2,17,10,8,4,46,8,4
226.5,5,8,42,7,9,6,6,3,48,3,1
232.5,5,9,50,3,2,3,6,3,33,7,4
238.5,4,5,50,5,9,5,4,1,43,4,5
244.5,7,4,41,2,8,8,10,4,61,12,4
250.5,5,2,37,5,10,10,16,4,41,6,2
256.5,1,5,44,7,6,14,13,0,35,5,0
262.5,2,10,33,7,3,12,8,6,31,7,0
268.5,2,8,45,2,4,15,8,0,38,8,1
