"depths","AMBROSIA","ARTEMISIA","BETULA","CUPRESSA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS","RUMEOXYR"
650,83,12,10,16,25,28,27,109,226,77,1
662,112,12,15,18,41,25,26.5,195,178,69,0
670,109,6,4,10,24,19,19,114,120,38,1
680,100,17,14,16,43,41,26,176,264,32,3
690,103,13,11,6,56,24,35.5,168,173,30,3
702,79,7,10,3,24,39,20.5,104,139,36,1
710,29,13,16,12,53,66,21.5,135,172,41,0
714,25,19,30,10,65,88,34,131,228,33,0
722,15,14,11,21,44,137,41,86,254,69,1
730,11,21,22,6,65,134,51,78,265,49,0
738,12,20,33,31,60,168,44.5,83,274,66,0
742,28,21,28,7,63,179,54,86,238,38,0
750,26,20,13,7,57,70,32,78,328,16,0
754,17,26,28,11,57,55,24,73,495,17,0
762,11,19,22,15,51,22,54.5,78,442,7,1
770,31,26,27,15,37,18,59,91,434,9,0
778,22,26,37,20,61,16,89,150,367,13,2
786,21,28,36,18,58,13,68.5,201,317,7,0
790,25,23,28,17,58,23,37.5,223,322,5,0
803,24,31,30,24,54,27,84,223,356,11,0
810,21,32,12,16,54,10,103,191,257,9,0
830,26,40,28,9,51,20,49,245,368,13,0
850,10,22,27,7,48,30,41,198,271,9,0
870,16,18,22,13,60,42,59.5,297,282,19,0
890,22,16,21,7,35,23,41,419,363,14,0
910,20,22,26,11,40,20,35,340,340,18,0
930,28,33,23,10,29,37,44,227,313,17,0
950,14,16,10,10,33,25,40,269,235,25,0
