datasetID,handle,site,long,lat,state,pi,pre,settlement,notes
CLH8,ADELINE,Adeline,-91.194,45.302,wisconsin,R. Calcote,7,,"Or 9, 8 looks so weird."
12016,ALBRTLEA,Albert Lea Lake,-93.2894,43.6582,minnesota,"Cushing, Edward J.",6,,
29,ALLIE,Lake Allie,-94.5675,44.8138,minnesota,"McAndrews, John H.",5,,
205,ANDRUSLK,Andrus Lake,-85.040278,46.7,michigan:north,"Shane, Linda C. K.",9,,
223,BADMED,Bad Medicine Lake,-95.383333,47.133333,minnesota,"McAndrews, John H.",3,,
241,BBASS,Black Bass Lake,-93.703889,46.128056,minnesota,"McAndrews, John H.",2,,
249,BECKMAN,Beckman Lake,-93.183333,45.425,minnesota,"Swain, Patricia C.",4,,
3062,BECKMNBG,Beckman Lake,-93.183333,45.425,minnesota,"Swain, Patricia C.",9,,
272,BIGJOHN,Big John Pond,-94.966667,47.558333,minnesota,"Almendinger, John C.",4,,
275,BILLYS,Billy's Lake,-94.583333,46.283333,minnesota,"Jacobson, George L., Jr.",9,,
280,BLANDIN,Blandin Pond,-93.666667,47.133333,minnesota,"Cushing, Edward J.",3,,
10973,BLOMFORD,Blomford Lake,-93.157,45.496,minnesota,"Cushing, Edward J.",7,,
287,BLUMOUND,Blue Mounds Creek,-89.866667,43.083333,wisconsin,"Davis, Anthony M.",2,,This core is not very good for assessing presett
296,BOBLAKE,Bob Lake,-92.614722,46.633611,minnesota,"McAndrews, John H.",3,,
298,BOGD,Bog D,-95.166667,47.183333,minnesota,"McAndrews, John H.",7,,
305,BOSSUOT,Bossuot Lake,-93.734167,44.296111,minnesota,"McAndrews, John H.",7,,
313,BROWNLK,Brown Lake (US:Wisconsin),-89.483333,45.783333,wisconsin,"Shane, Linda C. K.",9,,
314,BROWNSBY,"Brown's Bay, Lake Minnetonka",-93.55,44.966667,minnesota,"Shane, Linda C. K.",8,,
325,BURNTSDE,Burntside Lake,-91.994722,47.924167,minnesota,"Wright, Herbert E., Jr.",7,,
332,CAMP11LK,Camp 11 Lake,-88.016667,46.666667,michigan:north,"Brubaker, Linda B.",3,,
333,CAMP12LK,Camp 12 Lake,-89.375,45.986111,wisconsin,"Shane, Linda C. K.",15,,
334,CAMPBELL,Campbell Lake,-93.5,44.705833,minnesota,"McAndrews, John H.",6,,
13057,CAMPLAKE,Camp Lake,-95.398,45.4133,minnesota,"Cushing, Edward J.",4,,
3055,CANYON,Canyon Lake,-87.921389,46.833333,michigan:north,"Davis, Margaret B.",9,,
